test,solver,solver_time,solver_nodes,rewriter_time,total_time
a-puzzle,Minion,0.0695,19,29.6591,29.7286
basic,Minion,0.0811,8,0.4621,0.5432
bool,Minion,0.0996,3,0.1855,0.2851
divide-mod,Minion,0.0446,1,0.2142,0.2588
nqueens-8,Minion,0.1153,7242,47.3792,47.4945
simple-abs,Minion,0.1372,3,0.3022,0.4394
test-power,Minion,0.067,1,0.8273,0.8943
