test,solver,solver_time,solver_nodes,rewriter_time,total_time
a-puzzle,minion,0.0,19,0.132,0.132
basic,minion,0.0,7,0.168,0.168
bool,minion,0.0,3,0.212,0.212
circuit,minion,0.0,1,0.176,0.176
divide-mod,minion,0.0003,1,0.167,0.1673
nqueens-8,minion,0.0029,487,0.161,0.1639
simple-abs,minion,0.0004,3,0.142,0.1424
test-power,minion,0.0,1,0.114,0.114
xkcd,minion,0.0,79,0.166,0.166
zebra,minion,0.0009,1,0.098,0.0989
